stock,inter,topic
常山北明[9.3/-3.23%],四川长虹(5.04/-0.4%)[10];拓维信息(15.67/-6.62%)[7];润和软件(30.53/0.73%)[6];神州数码(31.6/-3.33%)[4];同方股份(8.45/-1.63%)[4],华为[5];盘古[5];AI[4];风口[2];正宗[2]
神州泰岳[10.65/1.62%],中文在线(22.15/-6.54%)[4];中国科传(19.1/-2.45%)[4];同方股份(8.45/-1.63%)[4];拓尔思(33.6/-0.59%)[4];光环新网(14.1/-2.35%)[2],游戏[4];传媒[2];中文[2];持续[2];AI[2]
世纪华通[6.5/0.78%],完美世界(19.14/2.9%)[10];三七互娱(31.66/2.56%)[10];昆仑万维(49.5/-2.27%)[8];吉比特(535.88/2.27%)[6];三六零(20.08/4.58%)[4],AI[6];中国[5];微软[4];GDC[4];游戏[4]
剑桥科技[45.5/10.01%],三六零(20.08/4.58%)[27];新易盛(61.7/6.01%)[12];华工科技(30.75/10.02%)[12];昆仑万维(49.5/-2.27%)[9];北京君正(110.24/9.91%)[8],模块[5];人工智能[4];关注[3];概念[3];AI[2]
中国电信[6.97/6.9%],三六零(20.08/4.58%)[6];浪潮信息(36.51/-3.03%)[5];中际旭创(67.1/-0.21%)[5];剑桥科技(45.5/10.01%)[4];昆仑万维(49.5/-2.27%)[4],运营商[4];通信[3];网格[3];人工智能[2];算力[2]
中际旭创[67.1/-0.21%],新易盛(61.7/6.01%)[20];剑桥科技(45.5/10.01%)[6];浪潮信息(36.51/-3.03%)[5];紫光股份(34.43/6.86%)[5];中国电信(6.97/6.9%)[5],模块[7];AI[4];逻辑[4];800G[4];科技[4]
牧原股份[50.66/1.56%],温氏股份(21.89/6.26%)[10];巨星农牧(35.34/5.94%)[7];唐人神(8.96/2.99%)[5],板块[6];农业[6];生猪[3];养殖[3];继续[2]
兖矿能源[35.45/-0.17%],,
金桥信息[16.17/-3.46%],石基信息(26.24/-3.92%)[7];卫宁健康(14.08/-4.22%)[7];创业黑马(31.98/-12.0%)[5];恒生电子(57.21/-0.63%)[4];众信旅游(9.31/-1.59%)[4],阿里[4];AI[3];梳理[2];工作[2]
中微公司[165.8/1.16%],北方华创(283.33/1.23%)[8];万业企业(20.09/1.16%)[3];三六零(20.08/4.58%)[2];兆易创新(130.56/-0.74%)[2],半导体[5];电子[4];国产[4];2022[3];年报[3]
