名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
东华软件,2065,33.9,8.51,1.92,50.09,50.35,2023032914
比亚迪,2594,33.9,247.62,1.07,-5.53,-3.64,2023032914
长江电力,600900,33.8,20.72,2.68,0.88,-1.33,2023032914
兆易创新,603986,33.7,115.02,5.72,10.69,12.25,2023032914
中芯国际,688981,33.5,49.54,0.9,19.43,20.42,2023032914
同花顺,300033,33.3,176.99,-1.12,78.33,79.48,2023032914
新易盛,300502,29.8,45.02,5.36,90.92,89.56,2023032914
五 粮 液,858,29.7,195.2,1.4,7.82,8.03,2023032914
东方国信,300166,26.6,13.53,0.97,69.13,69.34,2023032914
大华股份,2236,25.1,21.32,0.38,81.29,88.51,2023032914
人民网,603000,24.4,20.1,6.29,16.52,19.15,2023032914
沪电股份,2463,24.0,21.17,0.81,78.5,77.9,2023032914
中微公司,688012,23.3,138.77,8.24,33.45,41.59,2023032914
中国卫通,601698,22.5,22.38,1.31,97.01,95.97,2023032914
阳光电源,300274,22.4,104.8,0.8,-2.38,-6.26,2023032914
晶瑞电材,300655,22.2,23.86,1.14,60.67,62.53,2023032914
石基信息,2153,22.1,23.13,4.52,54.41,54.3,2023032914
恩捷股份,2812,22.0,112.66,4.71,-19.36,-14.19,2023032914
澜起科技,688008,21.5,68.22,5.8,6.49,8.98,2023032914
同方股份,600100,21.0,7.59,5.42,76.1,76.1,2023032914
天齐锂业,2466,20.9,75.29,0.99,-8.1,-4.68,2023032914
歌尔股份,2241,20.6,21.38,0.28,21.68,27.04,2023032914
海康威视,2415,20.3,42.61,0.38,23.47,22.87,2023032914
光环新网,300383,18.7,12.64,7.03,53.21,54.9,2023032914
海天瑞声,688787,18.2,254.07,13.02,323.38,325.65,2023032914
君正集团,601216,16.5,4.76,8.43,18.7,19.3,2023032914
三安光电,600703,16.4,20.06,4.05,14.5,16.9,2023032914
泸州老窖,568,16.4,253.53,1.93,13.95,13.04,2023032914
紫光股份,938,15.6,30.2,0.3,58.03,54.79,2023032914
科大国创,300520,15.5,27.7,10.49,73.78,74.65,2023032914
创业黑马,300688,15.3,36.73,8.12,111.94,119.68,2023032914
