stock,inter,topic
捷成股份[6.63/-4.6%],剑桥科技(45.5/10.01%)[2];昆仑万维(49.5/-2.27%)[2];新易盛(61.7/6.01%)[2],版权[3];预期[2];最大[2];运营[2];龙头[2]
药明康德[77.8/-0.08%],康龙化成(47.75/-1.99%)[2],
京山轻机[22.88/-4.79%],奥来德(61.31/3.42%)[3];捷佳伟创(116.66/-3.75%)[2];金晶科技(8.36/-5.0%)[2],钙钛矿[5];叠层[3];效率[3];设备[2];隆基[2]
神州泰岳[10.65/1.62%],中文在线(22.15/-6.54%)[4];中国科传(19.1/-2.45%)[4];同方股份(8.45/-1.63%)[4];拓尔思(33.6/-0.59%)[4];光环新网(14.1/-2.35%)[2],游戏[4];传媒[2];中文[2];持续[2];AI[2]
北京君正[110.24/9.91%],兆易创新(130.56/-0.74%)[19];江波龙(103.89/-2.54%)[10];三六零(20.08/4.58%)[9];深科技(18.82/2.34%)[9];剑桥科技(45.5/10.01%)[8],半导体[4];龙头[3];舆情[2];热度[2];人工智能[2]
晶瑞电材[24.23/-1.9%],天通股份(12.12/-0.98%)[3];中微公司(165.8/1.16%)[3];三安光电(22.64/3.57%)[3];福晶科技(27.23/10.02%)[3],自主[2]
中国交建[11.65/9.29%],中国建筑(6.16/5.3%)[4];中国铁建(10.09/9.79%)[4];中国中铁(7.68/10.03%)[4],建筑[3];天风[2]
美的集团[54.63/-0.11%],格力电器(37.03/-0.62%)[2];海尔智家(22.0/-1.26%)[2];公牛集团(156.77/-0.65%)[2];科沃斯(80.9/0.61%)[2],大幅[2]
紫光股份[34.43/6.86%],浪潮信息(36.51/-3.03%)[5];中际旭创(67.1/-0.21%)[5];新易盛(61.7/6.01%)[4];中兴通讯(32.52/0.74%)[4];中国电信(6.97/6.9%)[3],AI[3];更新[3];股票[2];加推[2];科技[2]
电科网安[43.16/5.78%],易华录(46.5/16.63%)[7];美亚柏科(26.57/13.06%)[6];中国软件(70.09/-0.06%)[5];三六零(20.08/4.58%)[5];绿盟科技(16.15/12.07%)[4],AI[4];数据安全[3];机会[3];安全[3];重组[3]
中国长城[13.44/-1.32%],拓尔思(33.6/-0.59%)[5];海光信息(85.88/1.27%)[5];神州数码(31.6/-3.33%)[5];龙芯中科(157.5/2.75%)[5];中科曙光(41.16/-0.72%)[5],AI[2];股票[2];CPU[2];计算机[2]
长电科技[34.94/1.13%],通富微电(22.95/0.79%)[6];士兰微(38.05/1.41%)[2];华天科技(10.5/0.57%)[2];张江高科(16.81/-0.59%)[2],电子[3];AI[3];算力[3];先进[3];封装[3]
传音控股[119.97/6.58%],宇信科技(21.5/12.51%)[5];启明信息(18.97/7.6%)[5];科大国创(28.38/0.92%)[4];比亚迪(250.92/-1.95%)[2],AI[6];手机[5];生成式[3];前景[3];展望[3]
海康威视[44.91/5.84%],金山办公(486.51/-4.96%)[8];科大讯飞(65.9/-4.91%)[7];同花顺(226.97/-3.42%)[5];石基信息(26.24/-3.92%)[5];大华股份(25.67/4.99%)[5],AI[4];未来[2];板块[2];龙头[2]
新华网[30.28/-2.48%],人民网(22.58/8.66%)[9];美亚柏科(26.57/13.06%)[8];川网传媒(19.3/-0.62%)[4];金桥信息(16.17/-3.46%)[2];创业黑马(31.98/-12.0%)[2],AI[8];阿里[4];解析[3];审核[3];03[2]
拓维信息[15.67/-6.62%],四川长虹(5.04/-0.4%)[17];神州数码(31.6/-3.33%)[15];润和软件(30.53/0.73%)[14];浪潮信息(36.51/-3.03%)[13];三六零(20.08/4.58%)[13],算力[4];模型[3];华为[3];盘古[3];逻辑[3]
新易盛[61.7/6.01%],中际旭创(67.1/-0.21%)[21];剑桥科技(45.5/10.01%)[17];华工科技(30.75/10.02%)[10];源杰科技(207.5/17.9%)[4];紫光股份(34.43/6.86%)[4],模块[8];科技[6];800G[4];AI[3];半导体[2]
东华软件[8.36/-3.24%],常山北明(9.3/-3.23%)[4];同方股份(8.45/-1.63%)[4];拓维信息(15.67/-6.62%)[4];四川长虹(5.04/-0.4%)[4];荣盛石化(14.47/-3.02%)[2],国家[2];一级[2]
荣盛石化[14.47/-3.02%],三六零(20.08/4.58%)[5];中油资本(7.77/7.17%)[5];浪潮信息(36.51/-3.03%)[4];拓维信息(15.67/-6.62%)[4];岭南股份(3.83/-4.73%)[3],合作[3];沙特[3];投资[2];主线[2];能源[2]
TCL中环[47.23/-3.22%],阳光电源(100.94/-4.68%)[2];隆基绿能(40.19/-1.08%)[2];天齐锂业(77.35/-3.42%)[2];赣锋锂业(65.84/-3.66%)[2];宁德时代(388.0/-2.69%)[2],光伏[5];硅片[5];持续[4];价格[3];石英砂[3]
东方财富[22.7/-0.83%],同花顺(226.97/-3.42%)[8];三六零(20.08/4.58%)[8];深科技(18.82/2.34%)[5];剑桥科技(45.5/10.01%)[5];财富趋势(178.0/5.4%)[3],金融[4];半导体[3];GPT[3];配置[2];预估[2]
赣锋锂业[65.84/-3.66%],天齐锂业(77.35/-3.42%)[11];宁德时代(388.0/-2.69%)[9];中矿资源(69.05/-4.99%)[4];TCL中环(47.23/-3.22%)[3];国轩高科(29.05/-2.09%)[2],中国[4];碳酸锂[2];电池[2];项目[2];即将[2]
